frag_id,charge,spin_multiplicity,fragment
frag240,0,1,[H]/[O+]=[O+]\[C+]([H])C([H])([H])[C-]([H])[H]
frag241,0,1,[H]C([H])=O
frag242,0,1,[H]OOC([H])=C([H])[H]
frag243,0,1,[H]/[C-]=[O+]/O[H]
frag244,0,1,[H][C+]([H])C([H])([H])[O-]
frag245,0,1,[H]/[C-]=[O+]\O[H]
frag246,0,2,[H]CC([H])([H])C([H])([H])[O-]
frag247,0,1,[H]C[O+]([H])OC([H])([H])[C+]([H])[H]
frag248,0,2,[H][O+]1CC([H])([H])C([H])([H])O1
frag249,0,1,[H]C([H])=[O+][O+]([H])C([H])=C([H])[H]
frag250,0,2,[H]C1=C([H])C([H])([H])O[O+]1[H]
frag251,0,2,[H]C1=[O+][O+]([H])[C-]([H])C1([H])[H]
frag252,0,1,[H]C(=O)[O+]([H])[O-]
frag253,0,1,[H]OC([H])=O
frag254,0,2,[H][C-]([H])C([H])([H])C(=O)[O+]([H])[O-]
frag255,0,2,[H]OC(=O)C([H])([H])C([H])([H])[O-]
frag256,0,1,[H][C+]([H])[C@]([H])([O-])[O+]([H])[O-]
frag257,0,1,[H][C+]([H])[C@@]([H])([O-])[O+]([H])[O-]
frag258,0,1,[H]O[C@@]([H])([O-])[C+]([H])[H]
frag259,0,1,[H]O[C@]([H])([O-])[C+]([H])[H]
frag260,0,2,[H]C([H])=C([H])[C@]([H])([O-])[O+]([H])[O-]
frag261,0,2,[H]C([H])=C([H])[C@@]([H])([O-])[O+]([H])[O-]
frag262,0,2,[H]O[C@@]([H])([O-])[C+]([H])C([H])([H])[O-]
frag263,0,2,[H]O[C@]([H])([O-])[C+]([H])C([H])([H])[O-]
frag264,0,2,[H]CC([H])([H])[C@]([H])([O-])[O+]([H])[O-]
frag265,0,2,[H]CC([H])([H])[C@@]([H])([O-])[O+]([H])[O-]
frag266,0,2,[H]O[C@@]([H])([O-])C([H])([H])C([H])=O
frag267,0,2,[H]O[C@]([H])([O-])C([H])([H])C([H])=O
frag268,0,1,[H][C-]([H])C([H])([H])[O+]=O
frag269,0,1,[H]C([H])=[O+][O-]
frag270,0,1,O=O
frag271,0,1,[H][C+]([H])C([H])([H])C([H])([H])[O-]
frag272,0,2,[H]/[C-]=[O+]/[C-]([H])[H]
frag273,0,2,[H]/[C-]=[O+]\[C-]([H])[H]
frag274,0,2,[H]/[C-]=[O+]/C([H])([H])[C-]([H])[H]
frag275,0,2,[H]/[C-]=[O+]\C([H])([H])[C-]([H])[H]
frag276,0,1,[H]C1=[O+][C@]1([H])C([H])([H])[O-]
frag277,0,1,[H]C1=[O+][C@@]1([H])C([H])([H])[O-]
frag278,0,2,[H][O+]=C=C([H])[H]
frag279,0,2,[H]/[O+]=[C-]/C([H])([H])[C-]([H])[H]
frag280,0,2,[H]/[O+]=[C-]\C([H])([H])[C-]([H])[H]
frag281,0,2,[H]/[O+]=[O+]/C([H])([H])[O-]
frag282,0,2,[H]/[O+]=[O+]\C([H])([H])[O-]
frag283,0,2,[H]C([H])=C([H])O[C-]([H])[H]
frag284,0,2,[H]/[C-]=C(\[H])O[H]
frag285,0,2,[H]/[C-]=C(/[H])O[H]
frag286,0,2,[H]O/C([H])=C(\[H])[C-]([H])[H]
frag287,0,2,[H]O/C([H])=C(/[H])[C-]([H])[H]
frag288,0,2,[H]O[O+]([O-])[C+]([H])[H]
frag289,0,2,[H]/[C-]=C(\[H])C([H])([H])[O+]([O-])O[H]
frag290,0,2,[H]/[C-]=C(/[H])C([H])([H])[O+]([O-])O[H]
frag291,0,2,[H]CC([H])([H])C([H])([H])[O+]([O-])[O-]
frag292,0,1,[H]/[C-]=[O+]/OO[H]
frag293,0,1,[H]/[C-]=[O+]\OO[H]
frag294,0,2,[H]C/[O+]=[O+]/C([H])([H])[C-]([H])[H]
frag295,0,2,[H]C/[O+]=[O+]\C([H])([H])[C-]([H])[H]
frag296,0,2,[H]/[C-]=[O+]/[O+]([O-])C([H])([H])[C-]([H])[H]
frag297,0,2,[H]/[C-]=[O+]\[O+]([O-])C([H])([H])[C-]([H])[H]
frag298,0,2,[H]C([H])=[O+]OC([H])=C([H])[H]
frag299,0,2,[H]C([H])=C([H])O[O+]([O-])[C-]([H])[H]
frag300,0,1,[H]/[C-]=[O+]/[H]
frag301,0,1,[H]/[C-]=[O+]\[H]
frag302,0,1,[H]OC([H])=C([H])[H]
frag303,0,2,[H]/[O+]=C(\[H])C([H])([H])C([H])=O
frag304,0,2,[H]/[O+]=C(/[H])C([H])([H])C([H])=O
frag305,0,2,[H]C([H])=[O+][O+]([H])[O-]
frag306,0,2,[H]/[C-]=C(\[H])C([H])([H])O[O+]([H])[O-]
frag307,0,2,[H]/[C-]=C(/[H])C([H])([H])O[O+]([H])[O-]
frag308,0,2,[H][O+]([O-])[O-]
frag309,0,1,[H]/[C-]=[O+]/[O+]([H])[O-]
frag310,0,1,[H]/[C-]=[O+]\[O+]([H])[O-]
frag311,0,1,[H]C/[O+]=[O+]/[H]
frag312,0,1,[H][C-]([H])C([H])([H])[O-]
frag313,0,1,[H]C/[O+]=[O+]\[H]
frag314,0,2,[H][C-]([H])C([H])([H])/[C-]=[O+]/[O+]([H])[O-]
frag315,0,2,[H][C-]([H])C([H])([H])/[C-]=[O+]\[O+]([H])[O-]
frag316,0,1,[H]C([H])=C([H])O[O+]([H])[O-]
frag317,0,2,[H]/C(=[O+]\[O-])C([H])([H])C([H])([H])[O-]
frag318,0,2,[H]/C(=[O+]/[O-])C([H])([H])C([H])([H])[O-]
frag319,0,1,[H]/[O+]=C(\[H])C([H])([H])[C-]([H])[H]
frag320,0,1,[H]/[O+]=C(/[H])C([H])([H])[C-]([H])[H]
frag321,0,1,[C-]#[O+]
frag322,0,1,[H]OOC([H])([H])C([H])([H])[H]
frag323,0,2,[H]C([H])([H])C#[O+]
frag324,0,1,[H]CC([H])([H])[O+](O[H])[C+]([H])[H]
frag325,0,2,[H]C[C@]1([H])[O+](O[H])C1([H])[H]
frag326,0,2,[H]C[C@@]1([H])[O+](O[H])C1([H])[H]
frag327,0,2,[H]O[O+]([C-]([H])[H])[C-]([H])[H]
frag328,0,1,[H]C1([H])OC1([H])[H]
frag329,0,2,[H]C(=O)C([H])([H])[O+]=C([H])[H]
frag330,0,2,[H]C(=O)C([H])([H])[O+]([O-])[C-]([H])[H]
frag331,0,1,[H]C(=O)[C@]1([H])OC1([H])[H]
frag332,0,1,[H]C(=O)[C@@]1([H])OC1([H])[H]
frag333,0,2,[H]OO[C-]([H])C([H])([H])[H]
frag334,0,1,[H]C(=O)C([H])([H])[H]
frag335,0,1,[H]CC([H])([H])[O+]([H])[O+]=C([H])[H]
frag336,0,2,[H]C[C@]1([H])[O+]([H])OC1([H])[H]
frag337,0,2,[H]C[C@@]1([H])[O+]([H])OC1([H])[H]
frag338,0,2,[H][C-]([H])O[O+]([H])[C-]([H])[H]
frag339,0,2,[H][C-]([H])C([H])([H])[O+]([H])[O-]
frag340,0,2,[H]OC([H])([H])C([H])([H])[O-]
frag341,0,1,[H]C(=O)C([H])([H])[O+]([H])[O-]
frag342,0,1,[H]OC([H])([H])C([H])=O
frag343,0,2,[H]C(=O)[C@@]([H])([C-]([H])[H])[O+]([H])[O-]
frag344,0,2,[H]C(=O)[C@]([H])([C-]([H])[H])[O+]([H])[O-]
frag345,0,2,[H]O[C@@]([H])(C([H])=O)C([H])([H])[O-]
frag346,0,2,[H]O[C@]([H])(C([H])=O)C([H])([H])[O-]
frag347,0,2,[H]C([H])([H])C([H])([H])O[O-]
frag348,0,1,[H]C([H])=C=O
frag349,0,1,[H]OOC([H])([H])[H]
frag350,0,2,[H]C([H])([H])C([H])([H])C#[O+]
frag351,0,1,[H]OOC([H])([H])C([H])=C=O
frag352,0,1,[H][H]
frag353,0,1,[H]O[O+]([H])C([H])([H])[C-]([H])[H]
frag354,0,1,[H]O[O+]([H])[C-]([H])[H]
frag355,0,1,[H]OO[H]
frag356,0,1,[H][C-]([H])C([H])([H])C#[O+]
frag357,0,2,[H]OC([H])([H])C([H])([H])C#[O+]
